order_id,order_date,order_year,order_month,order_quarter,order_day_of_week,order_week,shipping_date,delivery_date,order_status,customer_id,customer_age,customer_gender,customer_segment,product_id,product_name,product_category,product_subcategory,brand,quantity,unit_price,subtotal,discount_percent,discount_amount,tax_rate,tax_amount,total_amount,profit_margin,cost_of_goods,region,city,state,country,postal_code,sales_rep,sales_channel,payment_method,customer_satisfaction,return_flag,repeat_customer,promotional_offer,days_to_ship,days_to_deliver,profit_amount,revenue_per_customer
ORD010000,2025-04-08,2025,4,Q2,Tuesday,15,2025-04-14,2025-04-24,Cancelled,CUST001000,23,Other,Individual,PROD1488,Smartphones Standard,Electronics,Smartphones,BrandA,9,1475.58,13280.22,25,3320.05,0.08,1062.42,11022.59,0.17,8284.65,South,Atlanta,CA,USA,83563,Emily Brown,Partner,Debit Card,2.8,0,0,SAVE10,6,16,1873.8403,11022.59
ORD010001,2025-06-07,2025,6,Q2,Saturday,23,2025-06-11,2025-06-14,Returned,CUST001001,40,Female,Enterprise,PROD1711,Sports Clothing Standard,Sports,Sports Clothing,BrandD,49,679.82,33311.18,0,0.0,0.08,2664.89,35976.07,0.26,32088.31,South,Atlanta,OH,USA,20328,Robert Anderson,Phone,Cash,4.5,0,0,None,4,7,9353.7782,35976.07
ORD010002,2023-08-09,2023,8,Q3,Wednesday,32,2023-08-16,2023-08-23,Shipped,CUST001002,28,Female,Small Business,PROD5374,Dresses Pro,Clothing,Dresses,BrandA,25,563.17,14079.25,25,3519.81,0.08,1126.34,11685.78,0.28,7611.43,South,Miami,FL,USA,31417,Anna Taylor,Partner,PayPal,5.0,1,0,FREESHIP,7,14,3272.0184000000004,11685.78
ORD010003,2023-08-20,2023,8,Q3,Sunday,33,2023-08-26,2023-09-02,Cancelled,CUST001003,31,Other,Government,PROD8517,Shirts Standard,Clothing,Shirts,BrandB,5,429.86,2149.3,20,429.86,0.08,171.94,1891.38,0.18,1274.77,West,Seattle,NC,USA,80644,David Wilson,Partner,Cash,2.6,0,0,SEASONAL,6,13,340.4484,1891.38
ORD010004,2024-11-10,2024,11,Q4,Sunday,45,2024-11-14,2024-11-22,Returned,CUST001004,56,Female,Enterprise,PROD1188,Smartphones Pro,Electronics,Smartphones,BrandA,44,850.1,37404.4,0,0.0,0.08,2992.35,40396.75,0.3,30745.61,South,Atlanta,IL,USA,94012,Lisa Garcia,Online,PayPal,2.7,0,0,FREESHIP,4,12,12119.025,40396.75
ORD010005,2024-11-17,2024,11,Q4,Sunday,46,2024-11-22,2024-12-02,Returned,CUST001005,76,Male,Enterprise,PROD9005,Accessories Pro,Clothing,Accessories,BrandA,10,754.09,7540.9,5,377.05,0.08,603.27,7767.12,0.13,5506.07,East,Washington DC,IL,USA,41385,John Smith,Retail Store,Cash,4.8,0,1,None,5,15,1009.7256,7767.12
ORD010006,2024-12-20,2024,12,Q4,Friday,51,2024-12-22,2025-01-01,Pending,CUST001006,66,Other,Enterprise,PROD7537,Pants Premium,Clothing,Pants,BrandC,34,1746.14,59368.76,15,8905.31,0.08,4749.5,55212.95,0.23,41700.84,South,Dallas,NY,USA,42493,Emily Brown,Online,PayPal,1.1,1,0,SEASONAL,2,12,12698.9785,55212.95
ORD010007,2024-02-04,2024,2,Q1,Sunday,5,2024-02-09,2024-02-14,Cancelled,CUST001007,35,Other,Small Business,PROD9834,Smartphones Pro,Electronics,Smartphones,BrandB,3,1720.67,5162.01,0,0.0,0.08,412.96,5574.97,0.32,4820.76,South,Miami,MI,USA,71953,Emily Brown,Partner,Bank Transfer,1.8,0,1,FREESHIP,5,10,1783.9904000000001,5574.97
ORD010008,2024-08-30,2024,8,Q3,Friday,35,2024-09-06,2024-09-09,Pending,CUST001008,33,Male,Government,PROD3296,Supplements Pro,Sports,Supplements,BrandD,26,1459.15,37937.9,30,11381.37,0.08,3035.03,29591.56,0.16,21861.9,North,New York,NY,USA,68082,Robert Anderson,Online,Credit Card,3.6,1,0,None,7,10,4734.649600000001,29591.56
ORD010009,2024-02-21,2024,2,Q1,Wednesday,8,2024-02-25,2024-02-27,Cancelled,CUST001009,42,Female,Enterprise,PROD7930,Shoes Premium,Clothing,Shoes,BrandE,26,1805.86,46952.36,5,2347.62,0.08,3756.19,48360.93,0.3,36077.32,West,San Francisco,FL,USA,48890,Emily Brown,Online,Cash,3.9,0,1,None,4,6,14508.279,48360.93
ORD010010,2023-08-14,2023,8,Q3,Monday,33,2023-08-15,2023-08-18,Cancelled,CUST001010,61,Male,Individual,PROD5033,Comics Basic,Books,Comics,BrandE,33,169.42,5590.86,5,279.54,0.08,447.27,5758.59,0.28,4525.18,South,Miami,OH,USA,96163,Jennifer Lee,Phone,PayPal,1.8,0,0,FREESHIP,1,4,1612.4052000000001,5758.59
ORD010011,2024-08-02,2024,8,Q3,Friday,31,2024-08-03,2024-08-06,Returned,CUST001011,52,Male,Enterprise,PROD3170,Dresses Premium,Clothing,Dresses,BrandC,1,921.99,921.99,20,184.4,0.08,73.76,811.35,0.36,700.83,East,Philadelphia,PA,USA,47353,Mike Davis,Partner,Cash,3.8,1,0,SEASONAL,1,4,292.086,811.35
ORD010012,2024-04-25,2024,4,Q2,Thursday,17,2024-04-28,2024-05-03,Pending,CUST001012,63,Female,Enterprise,PROD9280,Laptops Standard,Electronics,Laptops,BrandD,48,1110.92,53324.16,10,5332.42,0.08,4265.93,52257.67,0.18,45592.08,North,New York,CA,USA,22097,Chris Martinez,Phone,Credit Card,1.0,0,1,SAVE10,3,8,9406.380599999999,52257.67
ORD010013,2024-09-18,2024,9,Q3,Wednesday,38,2024-09-20,2024-09-30,Returned,CUST001013,20,Female,Small Business,PROD8041,Comics Basic,Books,Comics,BrandB,5,1890.65,9453.25,25,2363.31,0.08,756.26,7846.2,0.11,5566.06,North,New York,CA,USA,56898,Emily Brown,Retail Store,Credit Card,2.4,1,1,SEASONAL,2,12,863.082,7846.2
ORD010014,2023-11-29,2023,11,Q4,Wednesday,48,2023-12-06,2023-12-14,Pending,CUST001014,69,Other,Enterprise,PROD3608,Pants Elite,Clothing,Pants,BrandA,12,1475.76,17709.12,10,1770.91,0.08,1416.73,17354.94,0.21,10614.58,West,Los Angeles,GA,USA,39154,Emily Brown,Partner,PayPal,2.2,0,0,None,7,15,3644.5373999999997,17354.94
ORD010015,2025-04-29,2025,4,Q2,Tuesday,18,2025-05-04,2025-05-12,Shipped,CUST001015,61,Other,Individual,PROD2889,Shoes Standard,Clothing,Shoes,BrandC,50,565.46,28273.0,25,7068.25,0.08,2261.84,23466.59,0.15,20856.17,East,Philadelphia,IL,USA,15014,Sarah Johnson,Partner,PayPal,3.9,0,1,SEASONAL,5,13,3519.9885,23466.59
ORD010016,2024-11-28,2024,11,Q4,Thursday,48,2024-12-03,2024-12-13,Pending,CUST001016,61,Other,Enterprise,PROD8066,Headphones Basic,Electronics,Headphones,BrandA,3,1420.48,4261.44,0,0.0,0.08,340.92,4602.36,0.38,4032.73,South,Dallas,MI,USA,51145,Sarah Johnson,Phone,Cash,2.2,0,1,NEWCUSTOMER,5,15,1748.8968,4602.36
ORD010017,2025-06-06,2025,6,Q2,Friday,23,2025-06-12,2025-06-16,Shipped,CUST001017,57,Other,Government,PROD9977,Plants Elite,Home & Garden,Plants,BrandA,43,1881.32,80896.76,25,20224.19,0.08,6471.74,67144.31,0.19,44520.36,South,Houston,MI,USA,89516,Lisa Garcia,Partner,Bank Transfer,2.8,0,1,SAVE10,6,10,12757.4189,67144.31
ORD010018,2025-04-28,2025,4,Q2,Monday,18,2025-04-30,2025-05-05,Completed,CUST001018,27,Male,Small Business,PROD8784,Tablets Basic,Electronics,Tablets,BrandE,49,477.39,23392.11,10,2339.21,0.08,1871.37,22924.27,0.35,14255.42,East,Philadelphia,OH,USA,92544,Jennifer Lee,Retail Store,Bank Transfer,3.0,0,0,None,2,7,8023.4945,22924.27
